,Gender,Nationality,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,raisedhands,VisitedResources,AnnouncementsView,Discussion,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays,Class
0,M,Kuwait,Kuwait,LowerLevel,G-04,A,IT,F,Father,15,16,2,20,Yes,Good,Under-7,M
1,M,Kuwait,Kuwait,LowerLevel,G-04,A,IT,F,Father,20,20,3,25,Yes,Good,Under-7,M
2,M,Kuwait,Kuwait,LowerLevel,G-04,A,IT,F,Father,10,7,0,30,No,Bad,Above-7,L
3,M,Kuwait,Kuwait,LowerLevel,G-04,A,IT,F,Father,30,25,5,35,No,Bad,Above-7,L
4,M,Kuwait,Kuwait,LowerLevel,G-04,A,IT,F,Father,40,50,12,50,No,Bad,Above-7,M
5,F,Kuwait,Kuwait,LowerLevel,G-04,A,IT,F,Father,42,30,13,70,Yes,Bad,Above-7,M
6,M,Kuwait,Kuwait,MiddleSchool,G-07,A,Math,F,Father,35,12,0,17,No,Bad,Above-7,L
7,M,Kuwait,Kuwait,MiddleSchool,G-07,A,Math,F,Father,50,10,15,22,Yes,Good,Under-7,M
8,F,Kuwait,Kuwait,MiddleSchool,G-07,A,Math,F,Father,12,21,16,50,Yes,Good,Under-7,M
9,F,Kuwait,Kuwait,MiddleSchool,G-07,B,IT,F,Father,70,80,25,70,Yes,Good,Under-7,M
10,M,Kuwait,Kuwait,MiddleSchool,G-07,A,Math,F,Father,50,88,30,80,Yes,Good,Under-7,H
11,M,Kuwait,Kuwait,MiddleSchool,G-07,B,Math,F,Father,19,6,19,12,Yes,Good,Under-7,M
12,M,Kuwait,Kuwait,LowerLevel,G-04,A,IT,F,Father,5,1,0,11,No,Bad,Above-7,L
13,M,Lebanon,Lebanon,MiddleSchool,G-08,A,Math,F,Father,20,14,12,19,No,Bad,Above-7,L
14,F,Kuwait,Kuwait,MiddleSchool,G-08,A,Math,F,Mum,62,70,44,60,No,Bad,Above-7,H
15,F,Kuwait,Kuwait,MiddleSchool,G-06,A,IT,F,Father,30,40,22,66,Yes,Good,Under-7,M
16,M,Kuwait,Kuwait,MiddleSchool,G-07,B,IT,F,Father,36,30,20,80,No,Bad,Above-7,M
17,M,Kuwait,Kuwait,MiddleSchool,G-07,A,Math,F,Father,55,13,35,90,No,Bad,Above-7,M
18,F,Kuwait,Kuwait,MiddleSchool,G-07,A,IT,F,Mum,69,15,36,96,Yes,Good,Under-7,M
19,M,Kuwait,Kuwait,MiddleSchool,G-07,B,IT,F,Mum,70,50,40,99,Yes,Good,Under-7,H
20,F,Kuwait,Kuwait,MiddleSchool,G-07,A,IT,F,Father,60,60,33,90,No,Bad,Above-7,M
21,F,Kuwait,Kuwait,MiddleSchool,G-07,B,IT,F,Father,10,12,4,80,No,Bad,Under-7,M
22,M,Kuwait,Kuwait,MiddleSchool,G-07,A,IT,F,Father,15,21,2,90,No,Bad,Under-7,M
23,M,Kuwait,Kuwait,MiddleSchool,G-07,A,IT,F,Father,2,0,2,50,No,Bad,Above-7,L
24,M,Kuwait,Kuwait,MiddleSchool,G-07,B,IT,F,Father,0,2,3,70,Yes,Good,Above-7,L
25,M,Kuwait,Kuwait,MiddleSchool,G-07,A,IT,F,Father,8,7,30,40,Yes,Good,Above-7,L
26,M,Kuwait,Kuwait,MiddleSchool,G-07,B,IT,F,Father,19,19,25,40,Yes,Bad,Under-7,M
27,M,Kuwait,Kuwait,MiddleSchool,G-08,A,Arabic,F,Father,25,15,12,33,No,Bad,Above-7,L
28,M,Kuwait,Kuwait,MiddleSchool,G-08,A,Science,F,Father,75,85,52,43,Yes,Good,Under-7,M
29,F,Kuwait,Kuwait,MiddleSchool,G-08,A,Arabic,F,Father,30,90,33,35,No,Bad,Under-7,M
30,F,Kuwait,Kuwait,MiddleSchool,G-08,A,Arabic,F,Father,35,80,50,70,Yes,Good,Under-7,H
31,M,Kuwait,Kuwait,MiddleSchool,G-07,A,IT,F,Father,4,5,40,16,Yes,Good,Above-7,L
32,F,Kuwait,Kuwait,LowerLevel,G-07,A,IT,F,Father,2,19,10,50,Yes,Good,Above-7,L
33,M,Kuwait,Kuwait,LowerLevel,G-05,A,English,F,Father,8,22,9,40,No,Bad,Above-7,L
34,M,Kuwait,Kuwait,MiddleSchool,G-07,B,Science,F,Father,12,11,8,40,No,Bad,Above-7,L
35,M,Kuwait,Kuwait,MiddleSchool,G-07,A,English,F,Father,10,12,17,30,No,Bad,Above-7,L
36,M,Kuwait,Kuwait,MiddleSchool,G-07,B,Science,F,Mum,8,6,4,22,Yes,Good,Above-7,L
37,F,Egypt,Egypt,MiddleSchool,G-07,A,IT,F,Father,45,54,26,90,Yes,Good,Under-7,M
38,M,Kuwait,Kuwait,MiddleSchool,G-06,A,IT,F,Father,0,0,0,4,No,Bad,Above-7,L
39,F,SaudiArabia,SaudiArabia,MiddleSchool,G-07,B,Science,F,Father,50,90,37,70,Yes,Good,Under-7,M
40,F,Kuwait,Kuwait,MiddleSchool,G-07,A,IT,F,Father,14,13,3,70,No,Bad,Above-7,L
41,M,Kuwait,Kuwait,MiddleSchool,G-07,A,IT,F,Father,19,20,16,50,No,Good,Under-7,M
42,M,Kuwait,Kuwait,HighSchool,G-09,A,IT,F,Father,10,12,7,33,Yes,Good,Above-7,L
43,F,Kuwait,Kuwait,HighSchool,G-09,A,IT,F,Father,30,35,28,90,Yes,Good,Under-7,M
44,F,Kuwait,Kuwait,HighSchool,G-09,A,IT,F,Father,33,33,30,90,No,Bad,Under-7,M
45,M,Kuwait,Kuwait,MiddleSchool,G-07,A,Quran,F,Father,20,12,15,70,No,Good,Above-7,L
46,M,Kuwait,Kuwait,LowerLevel,G-05,A,English,F,Father,7,10,1,30,No,Bad,Above-7,L
47,F,Kuwait,Kuwait,HighSchool,G-12,A,English,F,Mum,70,4,39,90,Yes,Good,Under-7,H
48,F,Kuwait,Kuwait,HighSchool,G-12,A,English,F,Mum,13,80,40,88,Yes,Good,Under-7,H
49,F,Kuwait,Kuwait,HighSchool,G-12,A,English,F,Father,29,39,50,77,Yes,Good,Under-7,M
50,F,Kuwait,Kuwait,HighSchool,G-12,A,English,F,Father,20,14,12,70,No,Bad,Above-7,L
51,M,Kuwait,Kuwait,HighSchool,G-12,A,English,F,Father,39,15,16,50,No,Good,Above-7,L
52,F,Kuwait,Kuwait,HighSchool,G-12,A,English,F,Father,55,90,16,40,No,Bad,Under-7,M
53,F,Kuwait,Kuwait,HighSchool,G-11,A,Science,F,Mum,49,70,19,75,Yes,Good,Under-7,H
54,M,Kuwait,Kuwait,HighSchool,G-12,A,English,F,Mum,12,50,8,30,No,Bad,Above-7,L
55,M,Kuwait,Kuwait,MiddleSchool,G-07,A,Math,F,Father,16,14,6,20,Yes,Good,Above-7,L
56,M,USA,USA,MiddleSchool,G-08,B,Math,F,Father,19,5,4,1,Yes,Good,Above-7,L
